Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Evan Fournier,27,66,66,2076,434,929,.467,173,434,.399,261,495,.527,.560,180,220,.818,18,153,171,209,71,15,125,161,1221
2,Aaron Gordon,24,62,62,2017,335,767,.437,73,237,.308,262,530,.494,.484,151,224,.674,107,368,475,228,51,39,100,125,894
3,Nikola Vučević,29,62,62,1998,493,1033,.477,98,289,.339,395,744,.531,.525,131,167,.784,140,533,673,222,54,47,88,135,1215
4,Markelle Fultz,21,72,60,1996,359,772,.465,36,135,.267,323,637,.507,.488,116,159,.730,41,197,238,369,90,11,147,142,870
5,Terrence Ross,28,69,0,1889,341,846,.403,177,504,.351,164,342,.480,.508,157,184,.853,13,209,222,82,77,24,70,109,1016
6,D.J. Augustin,32,57,13,1420,184,461,.399,70,201,.348,114,260,.438,.475,161,181,.890,22,100,122,262,34,1,86,72,599
7,Jonathan Isaac,22,34,32,980,156,332,.470,32,94,.340,124,238,.521,.518,60,77,.779,58,173,231,48,53,78,49,83,404
8,Wesley Iwundu,25,52,21,953,97,233,.416,28,82,.341,69,151,.457,.476,78,97,.804,24,107,131,60,25,13,26,80,300
9,Khem Birch,27,48,24,922,73,143,.510,0,1,.000,73,142,.514,.510,66,101,.653,91,129,220,50,20,23,31,91,212
10,Mo Bamba,21,62,0,878,132,286,.462,37,107,.346,95,179,.531,.526,31,46,.674,100,202,302,42,23,86,42,116,332
11,Michael Carter-Williams,28,45,0,833,111,260,.427,22,75,.293,89,185,.481,.469,79,95,.832,46,101,147,109,49,22,52,87,323
12,James Ennis,29,20,18,489,60,133,.451,18,63,.286,42,70,.600,.519,31,37,.838,23,72,95,22,12,8,27,52,169
13,Al-Farouq Aminu,29,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
14,Gary Clark,25,24,5,355,31,74,.419,21,60,.350,10,14,.714,.561,3,3,1.000,26,44,70,5,4,15,8,25,86
15,Melvin Frazier,23,19,0,126,15,34,.441,8,16,.500,7,18,.389,.559,2,4,.500,2,8,10,3,9,2,5,11,40
16,B.J. Johnson,24,10,0,83,9,32,.281,3,9,.333,6,23,.261,.328,9,10,.900,3,12,15,3,3,0,6,3,30
17,Amile Jefferson,26,18,0,74,5,14,.357,0,0,,5,14,.357,.357,5,14,.357,10,13,23,4,1,3,3,7,15
18,Vic Law,24,8,0,62,6,18,.333,1,7,.143,5,11,.455,.361,2,6,.333,2,9,11,3,2,0,2,6,15
19,Josh Magette,30,8,0,38,5,15,.333,1,4,.250,4,11,.364,.367,1,2,.500,1,5,6,5,3,1,5,4,12
